월,가성비전자담배,궐련형전자담배,글로전자담배,담배,릴하이브리드,발라리안,빌리아,아스몬,아이코스,액상형전자담배,엑스퍼,연초,일회용전자담배,입호흡전자담배,전자담배,전자담배금연,전자담배기계,전자담배기기,전자담배냄새,전자담배맛,전자담배배터리,전자담배순위,전자담배액상,전자담배연무량,전자담배유해성,전자담배종류,전자담배추천,전자담배충전,전자담배타격감,젤로전자담배,쥬스박스,차이코스,칠렉스,편의점전자담배,폐호흡전자담배,하카시그니처,하카전자담배
2016-01-01,20,0,0,71880,0,0,40,40,1030,0,100,10620,11870,0,163690,2250,430,1080,1540,650,7540,31760,54860,390,620,2460,12650,2080,560,0,30,0,0,3170,40,0,19160
2016-02-01,30,0,0,45020,0,0,60,20,720,0,50,5360,11740,0,143700,1500,460,1140,1530,660,7830,27140,40890,310,600,1810,12750,1900,590,0,20,0,90,3210,40,0,16740
2016-03-01,10,0,0,54630,0,0,50,30,980,0,100,3690,14610,0,153070,1470,390,830,1490,580,9240,29920,63490,230,680,1760,9960,1790,500,0,40,0,170,2290,0,0,14640
2016-04-01,40,0,0,59130,0,0,0,60,1020,0,40,3270,10670,0,130730,1320,360,940,1280,450,7950,32490,60460,190,590,1550,11770,1550,290,0,110,0,130,1740,20,0,11990
2016-05-01,10,0,0,76940,0,10,150,30,1680,0,20,3200,5150,30,142470,1510,320,960,1370,460,7300,46890,64020,170,920,1890,25770,1420,200,0,550,0,160,1850,10,0,12350
2016-06-01,10,0,0,68370,0,20,1230,0,8680,0,50,3160,4240,10,130730,1630,310,1050,1310,540,6590,19140,43140,100,770,1880,17410,1580,220,0,690,0,90,1860,20,0,13060
2016-07-01,40,0,0,58340,0,10,350,0,2950,0,40,2970,3400,0,119880,1400,320,990,1260,410,6630,16410,35890,60,500,1790,15670,1250,90,0,480,0,40,1610,10,0,11980
2016-08-01,0,0,0,62450,0,0,210,0,4290,0,80,3110,3630,0,123640,1280,200,910,1210,410,6820,22580,32010,60,830,1300,11670,930,160,0,430,0,20,1960,0,0,11490
2016-09-01,40,0,0,58900,0,0,110,10,4460,0,80,3010,4060,0,138280,1270,150,770,1240,360,5950,22750,38070,50,920,1280,16100,1120,200,0,260,0,30,2790,40,0,12710
2016-10-01,10,0,0,60510,0,0,110,10,4600,0,50,3270,3600,0,146130,1030,220,740,1190,340,5960,16210,60160,60,980,1410,18630,1170,130,0,180,0,50,2700,80,0,11380
2016-11-01,40,0,0,56560,0,40,250,0,6300,0,40,4140,3780,20,157600,910,60,1030,1160,380,6210,19200,52110,20,1150,1270,24880,1380,310,0,80,0,10,2610,90,0,13030
2016-12-01,20,0,0,58160,0,0,200,10,9290,0,50,7420,3840,30,163680,1050,50,1330,1130,360,6270,21060,49770,20,1130,1250,32100,1130,400,0,90,0,20,3330,120,0,13570
2017-01-01,180,0,0,57630,0,0,80,0,10750,0,60,12510,4920,20,210260,2040,50,790,1470,440,6630,25490,62450,140,1600,1460,39520,1370,570,0,50,0,20,3790,130,0,16430
2017-02-01,320,350,20,51250,0,0,50,0,17770,0,90,4980,4390,20,209920,1690,130,960,1450,450,6260,24520,58850,40,1510,1760,34510,1880,960,0,140,0,20,2990,250,0,15430
2017-03-01,550,2010,400,56450,0,20,100,0,75980,0,90,3740,4410,50,232550,1900,110,1250,1620,640,6870,24290,69670,80,1670,2620,36070,1880,1050,0,460,0,90,4160,400,0,15730
2017-04-01,400,3810,400,57700,0,0,70,10,59170,0,70,3360,3740,30,229550,1490,160,990,1500,540,6400,20770,64370,90,2040,1700,33040,1930,650,0,260,0,90,3670,670,0,12870
